,model_name,fold,accuracy,vectorizer,method
11,Logisitc,1,0.7962344366838748,tfidf,none
12,Logisitc,2,0.7749772244154267,tfidf,none
13,Logisitc,3,0.7837837837837838,tfidf,none
14,Logisitc,4,0.783480109322806,tfidf,none
15,Logisitc,5,0.7922235722964763,tfidf,none
16,Logisitc,6,0.7840218712029161,tfidf,none
17,Logisitc,7,0.7782503037667071,tfidf,none
18,Logisitc,8,0.7837181044957473,tfidf,none
19,Logisitc,9,0.7852369380315918,tfidf,none
20,NaiveBayes,0,0.6422714849681141,tfidf,none
21,NaiveBayes,1,0.6483449741876708,tfidf,none
22,NaiveBayes,2,0.6374126935924689,tfidf,none
23,NaiveBayes,3,0.6355906468266019,tfidf,none
24,NaiveBayes,4,0.6489523231096265,tfidf,none
25,NaiveBayes,5,0.6318347509113001,tfidf,none
26,NaiveBayes,6,0.6394289185905225,tfidf,none
27,NaiveBayes,7,0.6369987849331713,tfidf,none
28,NaiveBayes,8,0.637910085054678,tfidf,none
29,NaiveBayes,9,0.6445929526123937,tfidf,none
30,RandomForest,0,0.7169754023686608,tfidf,none
31,RandomForest,1,0.7273003340419071,tfidf,none
32,RandomForest,2,0.7279076829638628,tfidf,none
33,RandomForest,3,0.7339811721834194,tfidf,none
34,RandomForest,4,0.7294260552687519,tfidf,none
35,RandomForest,5,0.7290400972053463,tfidf,none
36,RandomForest,6,0.7433171324422844,tfidf,none
37,RandomForest,7,0.7256986634264885,tfidf,none
38,RandomForest,8,0.727217496962333,tfidf,none
39,RandomForest,9,0.727217496962333,tfidf,none
0,SVC,0,0.7947160643789857,count,none
1,SVC,1,0.7992711812936532,count,none
2,SVC,2,0.7919829942301853,count,none
3,SVC,3,0.788642575159429,count,none
4,SVC,4,0.7910719708472518,count,none
5,SVC,5,0.7837181044957473,count,none
6,SVC,6,0.7904009720534629,count,none
7,SVC,7,0.7773390036452005,count,none
8,SVC,8,0.7782503037667071,count,none
9,SVC,9,0.7800729040097205,count,none
10,Logisitc,0,0.8041299726692985,count,none
11,Logisitc,1,0.7989675068326754,count,none
12,Logisitc,2,0.7992711812936532,count,none
13,Logisitc,3,0.7983601579107197,count,none
14,Logisitc,4,0.7962344366838748,count,none
15,Logisitc,5,0.8007290400972054,count,none
16,Logisitc,6,0.804678007290401,count,none
17,Logisitc,7,0.7937424058323208,count,none
18,Logisitc,8,0.7858444714459295,count,none
19,Logisitc,9,0.8022478736330498,count,none
20,NaiveBayes,0,0.6720315821439417,count,none
21,NaiveBayes,1,0.6796234436683875,count,none
